ccn,provider_name,city,zip_code,county,ownership_type,certified_beds,overall_rating,health_inspection_rating,qm_rating,staffing_rating,aide_hours,rn_hours,total_nursing_hours,staff_turnover,total_fines,total_penalties,latitude,longitude
505311,SEATTLE MEDICAL POST ACUTE CARE,SEATTLE,98122,King,For profit - Limited Liability company,103,2,1,5,3,3.38981,1.17332,5.66037,49.1,60437,5,47.6067,-122.31
505313,HALLMARK MANOR,FEDERAL WAY,98003,King,For profit - Corporation,147,3,3,4,3,2.2867,0.74242,3.76818,34.5,32175,1,47.3122,-122.33
505315,MIRA VISTA CARE CENTER,MOUNT VERNON,98274,Skagit,For profit - Corporation,61,4,3,5,4,2.08138,0.90117,3.80053,49.3,0,0,48.4201,-122.32
505318,LIFE CARE CENTER OF SKAGIT VALLEY,SEDRO WOOLLEY,98284,Skagit,For profit - Corporation,150,2,2,4,4,2.34451,0.89978,4.15324,35.4,86222,2,48.503,-122.25
505319,ALDERWOOD POST ACUTE & REHABILITATION,LYNNWOOD,98037,Snohomish,For profit - Corporation,113,2,1,5,3,2.34804,0.87777,4.15344,59.6,237596,4,47.8282,-122.28
505320,COLUMBIA CREST CENTER,MOSES LAKE,98837,Grant,For profit - Corporation,111,2,1,5,2,2.38326,0.50613,3.73769,61.8,163278,4,47.1165,-119.26
505322,SPOKANE HEALTH & REHABILITATION,SPOKANE,99205,Spokane,For profit - Limited Liability company,125,1,1,4,2,2.12628,0.55699,3.45577,65.5,158341,4,47.7074,-117.41
505324,LIFE CARE CENTER OF PUYALLUP,PUYALLUP,98372,Pierce,For profit - Limited Liability company,102,3,3,4,4,2.85329,0.97777,4.74884,31.2,0,0,47.1827,-122.29
505325,BAINBRIDGE ISLAND HEALTH & REHAB CENTER,BAINBRIDGE ISLAND,98110,Kitsap,For profit - Limited Liability company,58,5,5,5,4,2.34013,1.24675,3.92154,31.8,0,0,47.6316,-122.52
505326,HEARTWOOD EXTENDED HEALTHCARE,TACOMA,98404,Pierce,For profit - Limited Liability company,120,2,2,3,3,2.35944,0.66286,3.87904,52.1,293221,4,47.1917,-122.41
